Objective loss,KLD,Mutual loss
185.337,0.0193893,0.499054
183.968,0.0187637,0.501249
183.218,0.0197366,0.496742
184.755,0.0202481,0.496148
186.133,0.0184,0.502644
184.532,0.0202734,0.502659
183.719,0.0200916,0.498791
181.856,0.020275,0.501721
183.565,0.0207369,0.499058
183.71,0.0199017,0.501205
182.92,0.0217091,0.500461
181.843,0.020916,0.497734
181.866,0.021929,0.499195
181.154,0.02147,0.495795
180.057,0.0219473,0.496574
181.548,0.0223761,0.501067
180.009,0.0221698,0.495131
181.648,0.0227144,0.497855
180.12,0.022474,0.498073
178.878,0.0233379,0.499355
179.549,0.0221622,0.499776
181.046,0.0230692,0.498977
177.239,0.024577,0.508002
178.07,0.0244842,0.501467
179.098,0.025589,0.49705
174.143,0.0248161,0.500935
177.512,0.0253706,0.505679
177.382,0.0253731,0.503505
181.23,0.0253832,0.499862
173.601,0.0257333,0.501057
173.839,0.0261482,0.499369
174.991,0.0254502,0.502469
172.599,0.0262623,0.501166
171.316,0.0276002,0.495331
172.941,0.0274598,0.498452
171.276,0.0284438,0.493503
173.345,0.0279707,0.498169
171.539,0.027997,0.493631
173.738,0.0296501,0.49786
171.384,0.030291,0.50326
171.954,0.0289647,0.497171
172.907,0.0298845,0.499965
169.766,0.0303488,0.495433
165.162,0.0317339,0.502558
170.385,0.0309826,0.496572
163.379,0.0306027,0.501938
168.625,0.0325389,0.498813
165.899,0.0314363,0.497613
164.172,0.0312823,0.49894
166.534,0.0326722,0.499885
171.359,0.0326196,0.498838
164.868,0.0347322,0.498039
163.134,0.0331198,0.501698
165.126,0.0346332,0.500107
160.822,0.0356523,0.4986
168.088,0.0359074,0.503106
164.468,0.0369012,0.500895
166.024,0.0328205,0.503204
157.463,0.0354861,0.49421
160.838,0.0378298,0.505919
160.901,0.0343649,0.499931
159.039,0.0355348,0.502872
158.869,0.0366746,0.502226
157.343,0.0384427,0.502257
156.327,0.0375645,0.496631
161.05,0.0382994,0.504589
156.643,0.0377457,0.501021
158.792,0.0387866,0.49974
154.701,0.039715,0.501059
156.484,0.0424788,0.501998
156.516,0.0388572,0.504636
149.718,0.0398829,0.495037
157.195,0.042267,0.501255
154.093,0.0411306,0.501362
152.89,0.0430413,0.50031
151.826,0.0457263,0.496462
152.781,0.0421437,0.497817
149.594,0.0431116,0.49579
153.69,0.0437516,0.508472
152.309,0.0443878,0.504749
146.837,0.0448464,0.49718
152.598,0.0463599,0.504669
143.573,0.0436332,0.497231
146.001,0.0460275,0.504972
140.843,0.0450273,0.507081
142.8,0.0494227,0.500117
149.906,0.0461634,0.498653
140.493,0.0516215,0.502157
142.642,0.0484709,0.505081
147.903,0.0469894,0.499383
142.103,0.0474977,0.495622
141.957,0.0491839,0.499062
143.904,0.0518629,0.500812
141.46,0.0494286,0.49444
138.72,0.0514277,0.497867
138.238,0.051889,0.499557
141.658,0.0506691,0.498965
139.505,0.0498714,0.503631
137.775,0.0524515,0.503019
145.149,0.0520922,0.501474
148.829,0.0559785,0.499766
141.657,0.0546271,0.502682
135.49,0.0558659,0.503058
132.163,0.0550894,0.503165
141.378,0.0574677,0.498301
134.025,0.054171,0.497672
134.227,0.0567077,0.498
135.252,0.0576149,0.501888
131.359,0.0591818,0.505251
134.431,0.0580396,0.494057
132.927,0.0610916,0.502285
134.848,0.0581992,0.49652
135.129,0.060509,0.501278
134.973,0.0585947,0.503132
135.35,0.0627021,0.50336
130.654,0.0636614,0.498082
123.177,0.0641818,0.501251
126.339,0.0635848,0.499149
129.807,0.0675303,0.501733
134.306,0.0656091,0.498081
